submit_day,jobs,hp_jobs,spot_jobs,gpu_seconds,gpu_demand
0,8587,8586,1,22040147002.31,15944.54
1,5529,5529,0,1346142057.3,7616.3
2,4665,4665,0,858157095.0,8740.9
3,5542,5542,0,1087510215.0,19349.5
4,4377,4376,1,1217480406.3,15764.3
5,3550,3550,0,1283168049.4,10959.7
6,3226,3226,0,1179364972.9,15529.15
7,2474,2473,1,671795435.9,8079.1
8,2119,2119,0,420571328.2,5342.5
9,1920,1920,0,432476302.1,4332.1
10,2606,2606,0,846010368.8,11540.8
11,3096,3096,0,839747993.9,24166.6
12,2319,2319,0,1065472909.9,10989.9
13,2809,2809,0,801638713.9,8773.0
14,2721,2721,0,1333405245.75,13739.25
15,1611,1611,0,484521501.4,5937.4
16,1603,1603,0,393459758.4,3609.3
17,2397,2397,0,618694847.5,11280.0
18,2205,2205,0,1021614679.7,7995.7
19,2332,2332,0,658939405.3,8533.1
20,2320,2320,0,812471636.0,8856.7
21,2237,2236,1,881318363.0,7975.5
22,1849,1849,0,484032186.3,7393.4
23,1880,1880,0,678626662.0,6363.0
24,2446,2446,0,704788263.0,15045.0
25,2119,2119,0,1098177413.0,14772.1
26,2114,2114,0,1074971846.2,13888.9
27,1700,1698,2,487233685.6,10291.9
28,1408,1402,6,643732375.6,9347.7
29,1355,1340,15,310064334.5,5388.5
30,1799,1766,33,338178996.0,8785.0
31,2169,1867,302,852944017.2,13911.4
32,2257,1930,327,750482015.1,17061.9
33,2385,2018,367,815234029.7,14469.9
34,1501,986,515,293257411.8,11553.2
35,1476,1089,387,245265143.6,6710.8
36,2337,1250,1087,200834029.0,13370.0
37,2465,1453,1012,317473676.0,17978.5
38,2488,1750,738,663570397.6,25319.4
39,2134,1924,210,723400926.6,16638.6
40,1769,1695,74,646936089.3,14690.7
41,1543,1357,186,567513007.0,14909.0
42,2306,2174,132,1003313492.1,17698.1
43,3129,2918,211,488744154.0,6087.0
44,2805,2742,63,438218751.5,6925.5
45,3185,3038,147,778712503.5,13196.0
46,3233,3029,204,1083844490.7,10916.7
47,3100,2981,119,934386259.1,10335.6
48,3244,3085,159,1178251436.3,18959.3
49,3003,2764,239,1147370812.7,16359.7
50,2750,2668,82,567716128.5,12878.5
51,2739,2535,204,430602953.5,7851.5
52,4035,3772,263,1030091720.9,11798.5
53,4808,4601,207,671176075.3,11771.0
