job_name,organization,job_type,duration,gpu_request,cpu_request,worker_num,gpu_seconds,submit_time
371183,57,HP,342519.0,8.0,184.0,176,482266752.0,521463.0
354427,57,HP,411095.0,8.0,184.0,127,417672520.0,12848371.0
360452,57,HP,318026.0,8.0,184.0,126,320570208.0,14927066.0
358667,57,HP,649645.0,8.0,184.0,60,311829600.0,1078350.0
390752,57,HP,276925.0,8.0,184.0,127,281355800.0,14065462.0
350139,57,HP,270137.0,8.0,184.0,127,274459192.0,14388293.0
370499,57,HP,532704.0,8.0,184.0,62,264221184.0,9975841.0
389946,57,HP,913070.0,8.0,184.0,32,233745920.0,6878557.0
403019,57,HP,785608.0,8.0,184.0,32,201115648.0,8267460.0
394686,57,HP,385032.0,8.0,184.0,64,197136384.0,12653707.0
405330,57,HP,544726.0,8.0,184.0,44,191743552.0,1269667.0
384975,57,HP,390212.0,8.0,184.0,60,187301760.0,4966580.0
393625,57,HP,180522.0,8.0,184.0,127,183410352.0,13384263.0
351525,57,HP,281735.0,8.0,104.0,80,180310400.0,14838255.0
387007,57,HP,373977.0,8.0,184.0,60,179508960.0,1786018.0
357986,57,HP,683739.0,8.0,184.0,32,175037184.0,4199709.0
211760,43,HP,10376470.0,8.0,60.0,2,166023520.0,929169.0
357290,57,HP,332686.0,8.0,184.0,62,165012256.0,9639616.0
407367,57,HP,160090.0,8.0,184.0,126,161370720.0,14762908.0
22968,4,HP,9980799.0,8.0,30.0,2,159692784.0,5916800.0
387233,57,HP,264768.0,8.0,104.0,74,156742656.0,13977866.0
393878,57,HP,604317.0,8.0,184.0,32,154705152.0,8679840.0
381199,57,HP,309538.0,8.0,184.0,62,153530848.0,14032855.0
341762,57,HP,314580.0,8.0,184.0,60,150998400.0,5474212.0
388961,57,HP,587533.0,8.0,184.0,32,150408448.0,4288445.0
365741,57,HP,247530.0,8.0,104.0,75,148518000.0,14336467.0
368048,57,HP,248812.0,8.0,104.0,74,147296704.0,13567810.0
354675,57,HP,582652.0,8.0,184.0,31,144497696.0,7349553.0
359976,57,HP,293301.0,8.0,184.0,61,143130888.0,11060224.0
360884,57,HP,270758.0,8.0,184.0,63,136462032.0,15252460.0
366506,57,HP,274371.0,8.0,184.0,62,136088016.0,9056825.0
353862,57,HP,220039.0,8.0,104.0,77,135544024.0,15331954.0
381910,57,HP,222681.0,8.0,104.0,74,131827152.0,13279889.0
401605,57,HP,504160.0,8.0,184.0,32,129064960.0,2157920.0
191838,37,HP,15897599.0,8.0,120.0,1,127180792.0,0.0
191733,37,HP,15897599.0,8.0,120.0,1,127180792.0,0.0
8712,11,HP,15897599.0,8.0,96.0,1,127180792.0,0.0
13028,14,HP,15638399.0,8.0,64.0,1,125107192.0,0.0
397491,57,HP,207783.0,8.0,104.0,75,124669800.0,14624559.0
13024,14,HP,15339871.0,8.0,64.0,1,122718968.0,298528.0
343651,57,HP,201071.0,8.0,104.0,76,122251168.0,15610122.0
400149,57,HP,118923.0,8.0,184.0,127,120825768.0,11988321.0
390880,57,HP,233896.0,8.0,184.0,64,119754752.0,3347595.0
404617,57,HP,513897.0,8.0,184.0,29,119224104.0,5361300.0
383465,57,HP,334106.0,8.0,184.0,44,117605312.0,1566688.0
361531,57,HP,112166.0,8.0,184.0,126,113063328.0,11624362.0
241363,30,HP,3513899.0,8.0,64.0,4,112444768.0,6904770.0
386352,57,HP,458767.0,8.0,184.0,30,110104080.0,7749229.0
191979,37,HP,13686353.0,8.0,120.0,1,109490824.0,2211246.0
385144,57,HP,441323.0,8.0,184.0,31,109448104.0,3619474.0
341109,57,HP,438782.0,8.0,184.0,31,108817936.0,9453539.0
341466,57,HP,418522.0,8.0,104.0,32,107141632.0,9582915.0
380501,57,HP,426031.0,8.0,184.0,31,105655688.0,9848456.0
361934,57,HP,205210.0,8.0,184.0,63,103425840.0,14828738.0
365440,57,HP,400730.0,8.0,184.0,32,102586880.0,5820067.0
13025,14,HP,12791445.0,8.0,64.0,1,102331560.0,2715084.0
364858,57,HP,791857.0,8.0,184.0,16,101357696.0,4910541.0
13018,14,HP,12564496.0,8.0,64.0,1,100515968.0,481903.0
393530,57,HP,304910.0,8.0,184.0,41,100010480.0,2200685.0
409029,57,HP,282936.0,8.0,184.0,44,99593472.0,1272256.0
349788,57,HP,202117.0,8.0,184.0,61,98633096.0,3685878.0
360164,57,HP,97104.0,8.0,184.0,126,97880832.0,11527113.0
374626,57,HP,392716.0,8.0,184.0,31,97393568.0,8247280.0
28298,4,HP,11983807.0,8.0,64.0,1,95870456.0,0.0
374299,57,HP,189847.0,8.0,184.0,63,95682888.0,8363745.0
382365,57,HP,371457.0,8.0,184.0,32,95092992.0,9807233.0
353094,57,HP,367999.0,8.0,184.0,32,94207744.0,8604621.0
352164,57,HP,184588.0,8.0,184.0,63,93032352.0,11408777.0
