submit_hour,jobs,gpu_seconds,gpu_demand
0,3740,20552025056.11,6855.64
1,184,17897333.0,300.0
2,60,2830931.0,60.0
3,96,21328417.0,96.0
4,226,36275656.0,226.0
5,230,41902349.0,244.0
6,227,154017719.0,227.0
7,229,43064400.0,245.0
8,300,51678837.0,300.0
9,305,42216529.0,381.0
10,275,145926778.0,886.0
11,179,262332192.0,449.0
12,163,39899394.0,359.0
13,154,27905551.0,286.0
14,180,67196270.0,518.0
15,269,22271776.0,793.0
16,268,84042843.0,1081.0
17,203,178471042.0,421.0
18,172,77066640.2,262.9
19,175,25005311.0,323.0
20,201,21603664.0,553.0
21,253,68003418.0,309.0
22,232,33354705.0,330.0
23,266,23830191.0,439.0
24,276,62248613.0,314.0
25,218,39125452.0,222.0
26,215,36537858.0,221.0
27,231,52358806.0,246.0
28,148,43450349.0,148.0
29,185,91078549.0,185.0
30,169,84007006.0,169.0
31,246,16550499.0,262.0
32,345,52219961.0,360.0
33,305,30783905.0,325.0
34,257,58214117.0,286.0
35,284,142504144.3,495.3
36,225,73804125.0,301.0
37,286,45610407.0,301.0
38,195,35596565.0,444.0
39,272,43932625.0,567.0
40,289,62945686.0,594.0
41,136,54153340.0,379.0
42,126,39926997.0,359.0
43,215,43739947.0,285.0
44,135,44622377.0,244.0
45,218,74302331.0,286.0
46,257,51821573.0,264.0
47,296,66606825.0,359.0
48,247,35106437.0,310.0
49,131,44217789.0,212.4
50,142,27128097.0,162.0
51,120,56019223.0,121.0
52,91,54813920.0,100.0
53,88,34933411.0,90.0
54,81,4590549.0,126.0
55,142,46249196.0,233.0
56,204,26797373.0,316.0
57,263,14629496.0,392.0
58,141,36733772.0,321.0
59,172,85835851.0,1599.0
60,298,38995251.0,942.0
61,225,39462477.0,264.0
62,265,19643037.0,288.0
63,256,43834642.0,290.0
64,231,28699222.0,382.0
65,126,52474925.0,226.0
66,242,30060253.0,319.0
67,285,40684724.0,336.5
68,184,23006608.0,256.0
69,263,33634993.0,391.0
70,220,22057317.0,471.0
71,248,18548532.0,593.0
72,265,41930774.0,375.0
73,184,21235507.0,243.0
74,141,35720864.0,249.0
75,251,30463191.0,274.0
76,180,48187967.0,215.0
77,140,58059872.0,141.0
78,138,44894397.0,182.0
79,273,22194697.0,318.0
80,283,27105625.0,320.0
81,260,32792741.0,275.0
82,245,151648526.0,603.0
83,231,33892031.0,867.5
84,277,88482985.0,544.0
85,265,32844801.0,446.0
86,238,86339554.0,831.0
87,183,67636796.0,596.0
88,239,25305279.0,747.0
89,210,32893455.0,1995.0
90,284,16273298.0,1914.0
91,245,32979936.0,2094.0
92,281,29706809.0,3306.0
93,220,55247893.0,477.0
94,281,25187629.0,1909.0
95,228,46485588.0,428.0
96,294,42481915.0,1850.0
97,131,20695831.0,477.0
98,153,40504713.0,296.0
99,143,19094246.6,191.3
100,96,37758818.0,188.0
101,155,36646514.0,240.0
102,180,15458376.0,180.0
103,145,25932675.0,168.0
104,191,14265562.0,191.0
105,187,14003640.0,425.0
106,244,148579595.0,892.0
107,195,53319772.0,827.0
108,196,12508287.0,473.0
109,205,139938678.0,901.0
110,190,50051262.0,1995.0
111,223,28681540.3,824.7
112,231,84607397.6,941.9
113,256,133778639.0,1009.8
114,181,17372196.0,785.3
115,175,115773147.4,734.3
116,185,12709999.8,831.4
117,117,68522533.2,528.3
