organization,jobs,gpu_seconds,gpu_demand,median_duration
13,181107,45760987050.15,166547.5,369.0
57,108911,40938745702.0,1675761.0,1547.0
19,43293,14355466773.7,37145.6,711.0
66,45879,7578318035.0,62432.0,1552.0
4,13718,5896018877.0,173490.0,2055.0
67,13153,3631451616.0,24306.0,2069.0
18,11417,3608533664.6,36392.7,758.0
37,968,3427764360.0,1485.0,309988.5
24,16584,1781049094.0,40438.0,6179.0
34,3221,1670211067.0,3221.0,2339.0
3,4832,1618058989.5,2188.1,855.0
7,3860,1087805760.0,2166.5,924.0
23,285,1067824256.0,285.0,1814399.0
14,27,957201832.0,216.0,2434440.0
30,1668,882343743.0,20389.0,2817.5
43,4555,849005222.0,18116.0,3600.0
25,1308,847842902.0,10174.0,1548.5
28,1634,839409391.0,1658.5,25744.0
38,304,779857250.0,304.0,183767.0
20,2077,575721180.0,2119.0,1835.0
6,228,531442923.0,228.0,1209599.0
54,154,510990508.0,154.0,2340186.0
74,162,443104492.0,162.0,1375043.0
76,790,311159513.0,2983.5,3794.0
5,5,251138696.0,20.0,15897599.0
39,83,219711627.0,83.0,125605.0
72,12,171449452.0,12.0,15897599.0
21,117,155040655.0,117.0,663646.0
42,14,137462180.0,17.0,2665277.5
11,1,127180792.0,8.0,15897599.0
71,2,127174568.0,16.0,7948410.5
75,39,125584840.0,39.0,2117444.0
36,2104,113947999.0,6767.0,2702.0
60,17,101578166.0,17.0,7915561.0
32,64,79724955.0,64.0,191658.0
44,11,76568511.0,11.0,1528879.0
46,576,75052930.0,1372.0,4377.5
0,3,72167624.0,24.0,159305.0
80,84,46363830.0,84.0,38403.5
58,55,42160384.0,58.0,10316.0
41,6,41042587.980000004,4.0200000000000005,13521599.0
33,871,39256814.0,1639.0,1190.0
29,840,35452124.0,854.0,5058.0
65,12,31663067.0,12.0,1426747.0
78,214,25120995.0,241.0,6626.5
35,38,24820144.0,38.0,279524.0
22,22,24727746.0,22.0,885129.5
51,50,24621109.0,50.0,349733.5
81,1154,21199408.0,3567.0,829.5
47,2,16070398.0,2.0,8035199.0
16,1,15897599.0,1.0,15897599.0
8,1,15897599.0,1.0,15897599.0
10,1,15897599.0,1.0,15897599.0
49,1,15897599.0,1.0,15897599.0
15,4,14325291.0,4.0,8535.0
63,22,12853495.0,22.0,745561.5
70,1,10111761.0,1.0,10111761.0
31,14,7992191.0,14.0,19919.0
1,19,7204036.0,19.0,3610.0
50,1,5702399.0,1.0,5702399.0
56,5,5621179.0,5.0,794118.0
62,42,5435547.0,42.0,11156.0
45,2,5432399.0,2.0,2716199.5
40,10,4737829.0,10.0,21783.5
52,43,4543566.0,43.0,7244.0
17,1,2356973.0,1.0,2356973.0
82,30,2164369.0,117.0,2590.5
53,19,1924718.0,19.0,9874.0
79,23,1252364.0,39.0,4714.0
61,1,1124165.0,1.0,1124165.0
2,2,365962.0,2.0,182981.0
59,1,158975.99,0.01,15897599.0
83,70,133379.0,70.0,625.5
55,1,114195.64,0.01,11419564.0
69,1,108416.0,8.0,13552.0
9,1,103550.0,1.0,103550.0
48,1,86399.0,1.0,86399.0
27,3,43344.0,24.0,1939.0
73,7,9041.0,8.0,880.0
12,2,7206.0,2.0,3603.0
26,1,6629.5,0.5,13259.0
64,3,2311.0,3.0,909.0
77,1,882.0,2.0,441.0
68,1,322.0,1.0,322.0
