submit_day,gpu_seconds,jobs,capacity_gpu_seconds,demand_capacity_ratio
0,22040147002.31,8587,899596800,24.500028237439263
1,1346142057.3,5529,899596800,1.4963837769320656
2,858157095.0,4665,899596800,0.9539352463236863
3,1087510215.0,5542,899596800,1.2088862643797755
4,1217480406.3,4377,899596800,1.3533623133163657
5,1283168049.4,3550,899596800,1.4263812959316886
6,1179364972.9,3226,899596800,1.3109928502413526
7,671795435.9,2474,899596800,0.7467739279419402
8,420571328.2,2119,899596800,0.46751092067023803
9,432476302.1,1920,899596800,0.4807445981355203
10,846010368.8,2606,899596800,0.9404328347988787
11,839747993.9,3096,899596800,0.9334715217973207
12,1065472909.9,2319,899596800,1.1843893952268394
13,801638713.9,2809,899596800,0.8911088988978173
14,1333405245.75,2721,899596800,1.4822254211553443
15,484521501.4,1611,899596800,0.5385985159129068
16,393459758.4,1603,899596800,0.43737345264011607
17,618694847.5,2397,899596800,0.6877468300242954
18,1021614679.7,2205,899596800,1.1356361869006204
19,658939405.3,2332,899596800,0.7324830471829157
20,812471636.0,2320,899596800,0.9031508738136907
21,881318363.0,2237,899596800,0.9796815228778049
22,484032186.3,1849,899596800,0.5380545887891108
23,678626662.0,1880,899596800,0.7543675811207866
24,704788263.0,2446,899596800,0.7834490551767191
25,1098177413.0,2119,899596800,1.220744018876012
26,1074971846.2,2114,899596800,1.1949484993721633
27,487233685.6,1700,899596800,0.541613404583031
28,643732375.6,1408,899596800,0.7155787744020432
29,310064334.5,1355,899596800,0.3446703395343336
30,338178996.0,1799,899596800,0.37592285343834037
31,852944017.2,2169,899596800,0.9481403415396765
32,750482015.1,2257,899596800,0.8342426463722414
33,815234029.7,2385,899596800,0.9062215758215236
34,293257411.8,1501,899596800,0.32598761111644686
35,245265143.6,1476,899596800,0.2726389684801013
36,200834029.0,2337,899596800,0.22324893663472348
37,317473676.0,2465,899596800,0.35290663105960357
38,663570397.6,2488,899596800,0.7376309004211665
39,723400926.6,2134,899596800,0.8041390616329449
40,646936089.3,1769,899596800,0.7191400517431809
41,567513007.0,1543,899596800,0.6308526297559084
42,1003313492.1,2306,899596800,1.1152924200041618
43,488744154.0,3129,899596800,0.5432924550198489
44,438218751.5,2805,899596800,0.48712795721372065
45,778712503.5,3185,899596800,0.8656239145137021
46,1083844490.7,3233,899596800,1.2048114118458404
47,934386259.1,3100,899596800,1.0386722797368777
48,1178251436.3,3244,899596800,1.3097550328102545
49,1147370812.7,3003,899596800,1.2754278502324599
50,567716128.5,2750,899596800,0.6310784214661501
51,430602953.5,2739,899596800,0.4786621667618204
