hour,A10,A100-SXM4-80GB,GPU-series-1,H800,GPU-series-2,A800-SXM4-80GB
0,2249.1399999999994,2116.5,738.0,1416.0,229.0,107.0
1,2324.1399999999994,2169.5,738.0,1416.0,229.0,84.0
2,2247.1399999999994,2072.5,738.0,0.0,229.0,83.0
3,2287.1399999999994,2064.5,738.0,0.0,229.0,82.0
4,2428.1399999999994,2065.5,738.0,0.0,230.0,82.0
5,2479.1399999999994,2081.5,738.0,0.0,229.0,82.0
6,2520.1399999999994,2064.5,738.0,0.0,229.0,82.0
7,2591.1399999999994,2081.5,738.0,0.0,221.0,82.0
8,2741.1399999999994,2080.5,738.0,0.0,221.0,82.0
9,2765.1399999999994,2152.5,738.0,0.0,249.0,82.0
10,2771.1399999999994,2285.5,738.0,64.0,595.0,142.0
11,2698.1399999999994,2479.5,749.0,56.0,524.0,117.0
12,2746.1399999999994,2394.5,749.0,56.0,519.0,132.0
13,2761.1399999999994,2377.5,749.0,96.0,517.0,106.0
14,2752.1399999999994,2507.5,757.0,104.0,538.0,188.0
15,2870.1399999999994,2535.5,757.0,280.0,549.0,210.0
16,2897.1399999999994,2586.5,748.0,280.0,791.0,250.0
17,2885.1399999999994,2571.5,753.0,8.0,826.0,170.0
18,2919.0399999999995,2487.5,759.0,8.0,792.0,146.0
19,2954.0399999999995,2526.5,759.0,56.0,784.0,146.0
20,2986.0399999999995,2476.5,760.0,88.0,770.0,98.0
21,3071.0399999999995,2418.5,760.0,8.0,798.0,106.0
22,3091.0399999999995,2416.5,761.0,88.0,775.0,90.0
23,3156.0399999999995,2488.5,761.0,88.0,774.0,90.0
24,3086.7399999999993,2137.5,761.0,24.0,509.0,27.0
25,3082.7399999999993,2072.5,761.0,24.0,508.0,28.0
26,3103.7399999999993,2025.5,761.0,24.0,508.0,26.0
27,3156.7399999999993,2040.5,762.0,24.0,508.0,26.0
28,3104.7399999999993,2036.5,762.0,24.0,508.0,26.0
29,3153.7399999999993,2036.5,763.0,24.0,508.0,26.0
30,3174.7399999999993,2031.5,763.0,24.0,508.0,26.0
31,3236.7399999999993,2079.5,763.0,24.0,508.0,26.0
32,3372.7399999999993,2110.5,764.0,24.0,508.0,26.0
33,3390.7399999999993,2134.5,764.0,24.0,509.0,26.0
34,3386.7399999999993,2160.5,765.0,24.0,510.0,26.0
35,3441.0399999999995,2154.5,765.0,24.0,724.0,26.0
36,3430.0399999999995,2243.5,765.0,24.0,723.0,34.0
37,3526.0399999999995,2198.5,765.0,24.0,723.0,34.0
38,3442.0399999999995,2271.5,765.0,24.0,723.0,202.0
39,3542.0399999999995,2484.5,765.0,88.0,723.0,202.0
40,3591.0399999999995,2507.5,765.0,88.0,691.0,122.0
41,3461.0399999999995,2553.5,765.0,40.0,707.0,122.0
42,3459.0399999999995,2374.5,765.0,208.0,739.0,122.0
43,3557.0399999999995,2314.5,765.0,40.0,731.0,146.0
44,3491.0399999999995,2309.5,765.0,40.0,731.0,194.0
45,3584.0399999999995,2362.5,765.0,40.0,731.0,154.0
46,3651.0399999999995,2342.5,766.0,40.0,731.0,146.0
47,3715.0399999999995,2343.5,766.0,88.0,739.0,146.0
48,3593.1399999999994,2149.5,762.0,64.0,763.0,58.0
49,3505.5399999999995,2189.5,763.0,64.0,763.0,59.0
50,3522.5399999999995,2097.5,763.0,16.0,763.0,58.0
51,3526.5399999999995,2091.5,763.0,16.0,763.0,58.0
52,3506.5399999999995,2101.5,763.0,16.0,763.0,58.0
53,3517.5399999999995,2101.5,763.0,16.0,763.0,58.0
54,3525.5399999999995,2094.5,763.0,64.0,763.0,58.0
55,3559.5399999999995,2144.5,763.0,144.0,763.0,58.0
56,3662.5399999999995,2146.5,763.0,192.0,779.0,74.0
