organization,A10,A100-SXM4-80GB,A800-SXM4-80GB,GPU-series-1,GPU-series-2,H800
0,0.0,1.0,0.0,0.0,0.0,0.0
1,0.0,1.0,0.0,0.0,0.0,0.0
2,1.0,0.0,0.0,0.0,0.0,0.0
3,0.9993470386389767,0.0,0.0,7.509800371218172e-05,0.0,0.0005778633573111767
4,0.009430594636815644,0.48104350514615896,0.0,0.022891611155877917,0.4866342890611475,0.0
5,0.0,1.0,0.0,0.0,0.0,0.0
6,1.0,0.0,0.0,0.0,0.0,0.0
7,0.9990018015716335,0.0,0.0,0.000998198428366476,0.0,0.0
8,1.0,0.0,0.0,0.0,0.0,0.0
9,1.0,0.0,0.0,0.0,0.0,0.0
10,1.0,0.0,0.0,0.0,0.0,0.0
11,0.0,1.0,0.0,0.0,0.0,0.0
12,1.0,0.0,0.0,0.0,0.0,0.0
13,0.8338242072080683,0.016662669451696203,0.0,0.1493912868511343,1.663862711627205e-07,0.00012167010283013005
14,0.0,1.0,0.0,0.0,0.0,0.0
15,1.0,0.0,0.0,0.0,0.0,0.0
16,1.0,0.0,0.0,0.0,0.0,0.0
17,1.0,0.0,0.0,0.0,0.0,0.0
18,0.46357670901358505,0.06477754171815688,0.0,0.23018030679563362,0.24146544247262447,0.0
19,0.2141262253716138,0.05390767741650671,0.0,0.7284576624257482,0.0007386138790990443,0.002769820907032176
20,0.3787344856758614,0.3055186105885491,0.0,0.016305809697673448,0.2994410940379161,0.0
21,0.3062129736229507,0.0,0.0,0.6937870263770493,0.0,0.0
22,1.0,0.0,0.0,0.0,0.0,0.0
23,1.0,0.0,0.0,0.0,0.0,0.0
24,0.013735717944224169,0.9623530265247141,0.0,0.006299982991934303,0.017611272539127438,0.0
25,0.0,0.9916097982501009,0.0,0.0,0.00839020174989918,0.0
26,0.0,0.0,0.0,1.0,0.0,0.0
27,0.0,0.641749723145072,0.0,0.0,0.358250276854928,0.0
28,0.41511676035085004,0.5692332729691846,0.0,0.0,0.015649966679965342,0.0
29,0.5011840475340772,0.49881595246592275,0.0,0.0,0.0,0.0
30,0.0,1.0,0.0,0.0,0.0,0.0
31,1.0,0.0,0.0,0.0,0.0,0.0
32,1.0,0.0,0.0,0.0,0.0,0.0
33,0.0,1.0,0.0,0.0,0.0,0.0
34,0.9989518666026178,0.0,0.0,0.0010481333973821644,0.0,0.0
35,1.0,0.0,0.0,0.0,0.0,0.0
36,0.006866728743520981,0.993133271256479,0.0,0.0,0.0,0.0
37,0.1093495572140204,0.8906504427859796,0.0,0.0,0.0,0.0
38,1.0,0.0,0.0,0.0,0.0,0.0
39,1.0,0.0,0.0,0.0,0.0,0.0
40,1.0,0.0,0.0,0.0,0.0,0.0
41,1.0,0.0,0.0,0.0,0.0,0.0
42,0.0,1.0,0.0,0.0,0.0,0.0
43,0.054695047564736886,0.12374266173830437,0.000491994618143821,0.0,0.1430405524643522,0.6780297436144627
44,0.0,1.0,0.0,0.0,0.0,0.0
45,1.0,0.0,0.0,0.0,0.0,0.0
46,0.0,1.0,0.0,0.0,0.0,0.0
47,1.0,0.0,0.0,0.0,0.0,0.0
48,1.0,0.0,0.0,0.0,0.0,0.0
49,1.0,0.0,0.0,0.0,0.0,0.0
50,1.0,0.0,0.0,0.0,0.0,0.0
51,1.0,0.0,0.0,0.0,0.0,0.0
52,1.0,0.0,0.0,0.0,0.0,0.0
53,1.0,0.0,0.0,0.0,0.0,0.0
54,1.0,0.0,0.0,0.0,0.0,0.0
55,1.0,0.0,0.0,0.0,0.0,0.0
56,1.0,0.0,0.0,0.0,0.0,0.0
57,0.004661144368931599,0.37105030700190456,0.04625647297023775,0.00851976925572882,0.15293322720666874,0.41657907919652853
58,0.0,0.0,0.0,1.0,0.0,0.0
59,1.0,0.0,0.0,0.0,0.0,0.0
60,0.9998022901890157,0.00019770981098438025,0.0,0.0,0.0,0.0
61,1.0,0.0,0.0,0.0,0.0,0.0
62,1.0,0.0,0.0,0.0,0.0,0.0
63,1.0,0.0,0.0,0.0,0.0,0.0
64,0.0,1.0,0.0,0.0,0.0,0.0
65,0.0,1.0,0.0,0.0,0.0,0.0
66,0.0,1.0,0.0,0.0,0.0,0.0
67,0.0,1.0,0.0,0.0,0.0,0.0
68,0.0,0.0,0.0,1.0,0.0,0.0
69,0.0,1.0,0.0,0.0,0.0,0.0
70,0.0,1.0,0.0,0.0,0.0,0.0
71,0.0,1.0,0.0,0.0,0.0,0.0
72,1.0,0.0,0.0,0.0,0.0,0.0
73,0.0,1.0,0.0,0.0,0.0,0.0
74,1.0,0.0,0.0,0.0,0.0,0.0
75,0.0,1.0,0.0,0.0,0.0,0.0
76,0.0,1.0,0.0,0.0,0.0,0.0
77,0.0,0.0,1.0,0.0,0.0,0.0
78,0.0,1.0,0.0,0.0,0.0,0.0
79,0.0,0.0,0.0,0.0,1.0,0.0
80,1.0,0.0,0.0,0.0,0.0,0.0
81,0.0,1.0,0.0,0.0,0.0,0.0
82,0.0,0.0661236600598142,0.0,0.0,0.0,0.9338763399401858
83,0.0,1.0,0.0,0.0,0.0,0.0
