job_name,organization,job_type,duration,gpu_request,worker_num,gpu_demand,cpu_request,submit_time,cpu_per_gpu
230488,55,HP,11419564.0,0.01,1,0.01,4.0,0.0,400.0
240400,59,HP,15897599.0,0.01,1,0.01,4.0,0.0,400.0
229809,19,HP,785238.0,1.0,1,1.0,192.0,6385961.0,192.0
229882,19,HP,4173936.0,1.0,1,1.0,192.0,5999850.0,192.0
229889,19,HP,4173845.0,1.0,1,1.0,192.0,5999850.0,192.0
229821,19,HP,4130377.0,1.0,1,1.0,192.0,5999850.0,192.0
229785,19,HP,2121749.0,1.0,1,1.0,192.0,5999850.0,192.0
229677,13,HP,5045974.0,1.0,1,1.0,192.0,2038825.0,192.0
229709,13,HP,707289.0,1.0,1,1.0,192.0,6377510.0,192.0
229907,19,HP,4141057.0,1.0,1,1.0,192.0,5999850.0,192.0
229723,19,HP,9897749.0,1.0,1,1.0,192.0,5999850.0,192.0
229690,13,HP,4972143.0,1.0,1,1.0,192.0,2112656.0,192.0
229924,19,HP,1171349.0,1.0,1,1.0,192.0,5999850.0,192.0
229663,13,HP,4191182.0,1.0,1,1.0,192.0,2116017.0,192.0
229602,13,HP,4968782.0,1.0,1,1.0,192.0,2116017.0,192.0
229612,13,HP,4968782.0,1.0,1,1.0,192.0,2116017.0,192.0
229747,19,HP,4130445.0,1.0,1,1.0,192.0,5999850.0,192.0
229571,13,HP,4924799.0,1.0,1,1.0,192.0,0.0,192.0
229943,19,HP,909008.0,1.0,1,1.0,192.0,7212591.0,192.0
229670,13,HP,563588.0,1.0,1,1.0,192.0,1250811.0,192.0
229569,13,HP,8121599.0,1.0,1,1.0,192.0,0.0,192.0
229801,19,HP,2989880.0,1.0,1,1.0,192.0,7140318.0,192.0
229570,13,HP,8121599.0,1.0,1,1.0,192.0,0.0,192.0
229803,19,HP,3012795.0,1.0,1,1.0,192.0,7140318.0,192.0
229741,19,HP,4133843.0,1.0,1,1.0,192.0,5999850.0,192.0
229864,19,HP,1171349.0,1.0,1,1.0,192.0,5999850.0,192.0
229768,19,HP,4365978.0,1.0,1,1.0,192.0,5999850.0,192.0
229588,13,HP,188889.0,1.0,1,1.0,192.0,6377510.0,192.0
321815,19,HP,5015362.0,1.0,1,1.0,192.0,5158216.0,192.0
229646,13,HP,501.0,1.0,1,1.0,192.0,5194505.0,192.0
229695,13,HP,707289.0,1.0,1,1.0,192.0,6377510.0,192.0
229931,19,HP,981281.0,1.0,1,1.0,192.0,7140318.0,192.0
229629,13,HP,1008.0,1.0,1,1.0,192.0,9501776.0,192.0
229742,19,HP,12657.0,1.0,1,1.0,192.0,6021614.0,192.0
229820,19,HP,2838.0,1.0,1,1.0,192.0,6021637.0,192.0
229927,19,HP,4295.0,1.0,1,1.0,192.0,6021637.0,192.0
229786,19,HP,1593.0,1.0,1,1.0,192.0,6021637.0,192.0
229946,18,HP,6265042.0,1.0,1,1.0,192.0,9632557.0,192.0
229610,13,HP,5896924.0,1.0,1,1.0,192.0,410275.0,192.0
229826,19,HP,3221741.0,1.0,1,1.0,192.0,7145487.0,192.0
229685,13,HP,2319.0,1.0,1,1.0,192.0,7145772.0,192.0
229567,13,HP,8121599.0,1.0,1,1.0,192.0,0.0,192.0
229688,13,HP,2058.0,1.0,1,1.0,192.0,7145783.0,192.0
229687,13,HP,2965228.0,1.0,1,1.0,192.0,7147162.0,192.0
229684,13,HP,2356115.0,1.0,1,1.0,192.0,7147162.0,192.0
229762,19,HP,7279980.0,1.0,1,1.0,192.0,7148819.0,192.0
229855,19,HP,1159.0,1.0,1,1.0,192.0,7149067.0,192.0
229834,19,HP,976207.0,1.0,1,1.0,192.0,7150145.0,192.0
229568,13,HP,12787199.0,1.0,1,1.0,192.0,0.0,192.0
229649,13,HP,21724.0,1.0,1,1.0,192.0,410275.0,192.0
229624,13,HP,6674524.0,1.0,1,1.0,192.0,410275.0,192.0
229676,13,HP,6674524.0,1.0,1,1.0,192.0,410275.0,192.0
229708,13,HP,6674524.0,1.0,1,1.0,192.0,410275.0,192.0
229609,13,HP,6674524.0,1.0,1,1.0,192.0,410275.0,192.0
229651,13,HP,5896924.0,1.0,1,1.0,192.0,410275.0,192.0
229636,13,HP,21724.0,1.0,1,1.0,192.0,410275.0,192.0
229740,19,HP,9272633.0,1.0,1,1.0,192.0,6624966.0,192.0
229901,19,HP,27829.0,1.0,1,1.0,192.0,6624970.0,192.0
229829,19,HP,7710654.0,1.0,1,1.0,192.0,7150145.0,192.0
229848,19,HP,539454.0,1.0,1,1.0,192.0,7150145.0,192.0
229765,19,HP,7969854.0,1.0,1,1.0,192.0,7150145.0,192.0
229867,19,HP,2987716.0,1.0,1,1.0,192.0,7150145.0,192.0
229800,19,HP,9720814.0,1.0,1,1.0,192.0,6176785.0,192.0
229732,19,HP,9720814.0,1.0,1,1.0,192.0,6176785.0,192.0
229782,19,HP,3726027.0,1.0,1,1.0,192.0,6385954.0,192.0
229750,19,HP,3765966.0,1.0,1,1.0,192.0,6385960.0,192.0
229894,19,HP,9511638.0,1.0,1,1.0,192.0,6385961.0,192.0
229816,19,HP,518313.0,1.0,1,1.0,192.0,6652886.0,192.0
229812,19,HP,785238.0,1.0,1,1.0,192.0,6385961.0,192.0
230099,19,HP,7548388.0,1.0,1,1.0,192.0,8349211.0,192.0
229593,13,HP,6594954.0,1.0,1,1.0,192.0,489845.0,192.0
230102,19,HP,204070.0,1.0,1,1.0,192.0,15693529.0,192.0
230098,19,HP,208254.0,1.0,1,1.0,192.0,15689345.0,192.0
230076,19,HP,322178.0,1.0,1,1.0,192.0,15575421.0,192.0
229715,13,HP,223194.0,1.0,1,1.0,192.0,6688805.0,192.0
229628,13,HP,3657354.0,1.0,1,1.0,192.0,489845.0,192.0
229630,13,HP,395994.0,1.0,1,1.0,192.0,6688805.0,192.0
229652,13,HP,6594954.0,1.0,1,1.0,192.0,489845.0,192.0
229682,13,HP,6594954.0,1.0,1,1.0,192.0,489845.0,192.0
229626,13,HP,5817354.0,1.0,1,1.0,192.0,489845.0,192.0
229631,13,HP,6594954.0,1.0,1,1.0,192.0,489845.0,192.0
229592,13,HP,1324554.0,1.0,1,1.0,192.0,489845.0,192.0
229693,13,HP,5817354.0,1.0,1,1.0,192.0,489845.0,192.0
229661,13,HP,395994.0,1.0,1,1.0,192.0,6688805.0,192.0
