job_name,organization,job_type,duration,gpu_request,worker_num,gpu_demand,cpu_request,submit_time
352127,57,HP,297.0,8.0,128,1024.0,184.0,11887753.0
392243,57,HP,180.0,8.0,126,1008.0,184.0,11473152.0
342096,57,HP,194.0,8.0,125,1000.0,184.0,11392354.0
392205,57,HP,36.0,8.0,125,1000.0,184.0,11403830.0
393019,57,HP,44.0,8.0,124,992.0,184.0,11404251.0
376686,57,HP,254.0,8.0,74,592.0,104.0,13973451.0
395594,57,HP,241.0,8.0,73,584.0,104.0,12079585.0
349697,57,HP,182.0,8.0,64,512.0,184.0,3321856.0
402846,57,HP,60.0,8.0,64,512.0,184.0,3320870.0
371490,57,HP,293.0,8.0,64,512.0,184.0,13054954.0
402810,57,HP,145.0,8.0,64,512.0,184.0,1030458.0
375756,57,HP,59.0,8.0,64,512.0,184.0,3321399.0
376087,57,HP,184.0,8.0,63,504.0,184.0,3341977.0
358879,57,HP,39.0,8.0,63,504.0,184.0,11382326.0
352181,57,HP,258.0,8.0,62,496.0,184.0,8903510.0
369031,57,HP,157.0,8.0,62,496.0,184.0,8905541.0
389159,57,HP,286.0,8.0,62,496.0,184.0,7933006.0
389671,57,HP,285.0,8.0,62,496.0,184.0,3372109.0
393380,57,HP,197.0,8.0,62,496.0,104.0,11836596.0
383045,57,HP,143.0,8.0,62,496.0,184.0,8764825.0
396300,57,HP,198.0,8.0,61,488.0,184.0,7317771.0
364472,57,HP,265.0,8.0,61,488.0,184.0,3369232.0
365487,57,HP,212.0,8.0,61,488.0,184.0,3322818.0
405944,57,HP,221.0,8.0,61,488.0,184.0,14816208.0
395424,57,HP,185.0,8.0,60,480.0,184.0,3514096.0
377896,57,HP,262.0,8.0,60,480.0,184.0,5853218.0
357895,57,HP,163.0,8.0,60,480.0,184.0,2229628.0
378248,57,HP,217.0,8.0,60,480.0,184.0,3607703.0
400203,57,HP,235.0,8.0,60,480.0,184.0,6127681.0
371115,57,HP,233.0,8.0,60,480.0,184.0,4964930.0
371887,57,HP,68.0,8.0,58,464.0,184.0,1014399.0
